utilization.gpu [%], utilization.memory [%], memory.used [MiB]
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
0 %, 0 %, 10 MiB
